study,arm_id,config_id,temperature,kernel,samples,seeds,branch,validity_mean,validity_sample_sd,uniqueness_mean,uniqueness_sample_sd,quality_mean,quality_sample_sd,diversity_mean,diversity_sample_sd,complete,scheduled_samples,accepted_samples,completed_seeds,status_counts
V6,S,s_t050_predictor,0.5,128P,128,1300/1301,released_comparable,0.984375,0.02209708691207961,0.9919354838709677,0.011404948083653983,0.546875,0.04419417382415922,0.8821878772715943,0.006372177890709878,True,128,128,"[1300, 1301]","{""completed"": 2}"
V6,S,s_t050_predictor,0.5,128P,128,1300/1301,strict,0.6171875,0.011048543456039806,1.0,0.0,0.3359375,0.011048543456039806,0.8658624299640236,0.006724280926171933,True,128,128,"[1300, 1301]","{""completed"": 2}"
V6,S,s_t050_gibbs,0.5,64P+64G,128,1300/1301,released_comparable,0.984375,0.02209708691207961,0.9760584677419355,0.01176135271126816,0.5703125,0.011048543456039806,0.8921012828088704,0.005226762407594722,True,128,128,"[1300, 1301]","{""completed"": 2}"
V6,S,s_t050_gibbs,0.5,64P+64G,128,1300/1301,strict,0.5546875,0.07733980419227864,1.0,0.0,0.3671875,0.011048543456039806,0.8775744750209045,0.004458221940727566,True,128,128,"[1300, 1301]","{""completed"": 2}"
V6,R,r_t050_predictor,0.5,128P,128,1300/1301,released_comparable,1.0,0.0,0.984375,0.02209708691207961,0.5390625,0.05524271728019903,0.8849554637492169,0.0070345676960039925,True,128,128,"[1300, 1301]","{""completed"": 2}"
V6,R,r_t050_predictor,0.5,128P,128,1300/1301,strict,0.65625,0.08838834764831845,1.0,0.0,0.3671875,0.03314563036811941,0.8743386356084691,0.0009493238084727649,True,128,128,"[1300, 1301]","{""completed"": 2}"
V6,R,r_t050_gibbs,0.5,64P+64G,128,1300/1301,released_comparable,0.9765625,0.011048543456039806,1.0,0.0,0.4765625,0.03314563036811941,0.8932409441045168,0.012353911166239028,True,128,128,"[1300, 1301]","{""completed"": 2}"
V6,R,r_t050_gibbs,0.5,64P+64G,128,1300/1301,strict,0.6171875,0.07733980419227864,1.0,0.0,0.3203125,0.05524271728019903,0.8768671656983684,0.00797161726062995,True,128,128,"[1300, 1301]","{""completed"": 2}"
V9,CT,ct_t100,1.0,128P,200,1600/1601,released_comparable,0.975,0.021213203435596444,0.9947916666666667,0.007365695637359844,0.46499999999999997,0.0636396103067893,0.909003304382951,0.00014998183393041622,True,200,200,"[1600, 1601]","{""completed"": 2}"
V9,CT,ct_t100,1.0,128P,200,1600/1601,strict,0.39,0.05656854249492382,1.0,0.0,0.21000000000000002,0.014142135623730944,0.886407044697206,0.006761485722333923,True,200,200,"[1600, 1601]","{""completed"": 2}"
V9,CE,ce_t100,1.0,128P,200,1600/1601,released_comparable,0.98,0.014142135623730963,0.9948453608247423,0.007289760630789124,0.41000000000000003,0.042426406871192854,0.9025423111874112,0.003580880353296696,True,200,200,"[1600, 1601]","{""completed"": 2}"
V9,CE,ce_t100,1.0,128P,200,1600/1601,strict,0.645,0.07778174593052022,1.0,0.0,0.26,0.07071067811865477,0.8866667518160418,0.004862037946077551,True,200,200,"[1600, 1601]","{""completed"": 2}"
V9,CT,ct_t050,0.5,128P,200,1600/1601,released_comparable,0.985,0.007071067811865481,0.994949494949495,0.007142492739258023,0.545,0.021213203435596444,0.8838362246393474,0.0028243293306798355,True,200,200,"[1600, 1601]","{""completed"": 2}"
V9,CT,ct_t050,0.5,128P,200,1600/1601,strict,0.77,0.014142135623730963,1.0,0.0,0.44,0.014142135623730963,0.8682506077829375,0.008218480863804091,True,200,200,"[1600, 1601]","{""completed"": 2}"
V9,CE,ce_t050,0.5,128P,200,1600/1601,released_comparable,0.99,0.0,0.994949494949495,0.007142492739258023,0.525,0.049497474683058366,0.887961489896204,0.005913166652495722,True,200,200,"[1600, 1601]","{""completed"": 2}"
V9,CE,ce_t050,0.5,128P,200,1600/1601,strict,0.6699999999999999,0.056568542494923775,1.0,0.0,0.395,0.03535533905932737,0.8700379168591471,0.0006652851298409456,True,200,200,"[1600, 1601]","{""completed"": 2}"
V10,CT,ct_t050_n128,0.5,128P,200,1700/1701,released_comparable,1.0,0.0,1.0,0.0,0.455,0.07778174593052022,0.8917595976565214,0.006444992999698794,True,200,200,"[1700, 1701]","{""completed"": 2}"
V10,CT,ct_t050_n128,0.5,128P,200,1700/1701,strict,0.72,0.09899494936611666,1.0,0.0,0.355,0.12020815280171307,0.8753811769613111,0.0016025816793986292,True,200,200,"[1700, 1701]","{""completed"": 2}"
V10,CT,ct_t050_n512,0.5,512P,200,1700/1701,released_comparable,0.995,0.007071067811865481,1.0,0.0,0.44999999999999996,0.028284271247461888,0.8907209670329008,0.0011424188223167625,True,200,200,"[1700, 1701]","{""completed"": 2}"
V10,CT,ct_t050_n512,0.5,512P,200,1700/1701,strict,0.735,0.021213203435596444,1.0,0.0,0.32499999999999996,0.03535533905932737,0.8763592738016057,0.005153167188289081,True,200,200,"[1700, 1701]","{""completed"": 2}"
V10,CE,ce_t050_n128,0.5,128P,200,1700/1701,released_comparable,0.99,0.014142135623730963,0.9948979591836735,0.007215375318230085,0.46499999999999997,0.007071067811865442,0.8927718296509505,0.0026208826229325044,True,200,200,"[1700, 1701]","{""completed"": 2}"
V10,CE,ce_t050_n128,0.5,128P,200,1700/1701,strict,0.7250000000000001,0.06363961030678926,1.0,0.0,0.36,0.0,0.8781425134468657,0.0006701999414223982,True,200,200,"[1700, 1701]","{""completed"": 2}"
V10,CE,ce_t050_n512,0.5,512P,200,1700/1701,released_comparable,0.985,0.007071067811865481,1.0,0.0,0.48,0.042426406871192854,0.8926526810176396,0.0011326366339381915,True,200,200,"[1700, 1701]","{""completed"": 2}"
V10,CE,ce_t050_n512,0.5,512P,200,1700/1701,strict,0.715,0.007071067811865481,1.0,0.0,0.385,0.03535533905932737,0.8778925643383209,0.005078602914861515,True,200,200,"[1700, 1701]","{""completed"": 2}"
V12,E_CE,e_ce_t100,1.0,128P,200,2000/2001,released_comparable,0.99,0.014142135623730963,0.995,0.007071067811865481,0.425,0.06363961030678926,0.9008204761390544,0.003375111985361038,True,200,200,"[2000, 2001]","{""completed"": 2}"
V12,E_CE,e_ce_t100,1.0,128P,200,2000/2001,strict,0.585,0.06363961030678926,1.0,0.0,0.275,0.021213203435596406,0.8854385722133966,0.006113908484667099,True,200,200,"[2000, 2001]","{""completed"": 2}"
V12,MASK_CE,mask_ce_t100,1.0,128P,200,2000/2001,released_comparable,0.995,0.007071067811865481,0.995,0.007071067811865481,0.5,0.05656854249492382,0.9045668526512063,0.0003537717834057002,True,200,200,"[2000, 2001]","{""completed"": 2}"
V12,MASK_CE,mask_ce_t100,1.0,128P,200,2000/2001,strict,0.585,0.03535533905932733,1.0,0.0,0.33999999999999997,0.05656854249492382,0.8823400001852264,0.0007347008735038748,True,200,200,"[2000, 2001]","{""completed"": 2}"
V12,E_CE,e_ce_t050,0.5,128P,200,2000/2001,released_comparable,0.98,0.014142135623730963,1.0,0.0,0.485,0.021213203435596444,0.8944848318523444,0.0073563654530803945,True,200,200,"[2000, 2001]","{""completed"": 2}"
V12,E_CE,e_ce_t050,0.5,128P,200,2000/2001,strict,0.715,0.007071067811865481,1.0,0.0,0.375,0.03535533905932741,0.8830211812874986,0.007915590159852718,True,200,200,"[2000, 2001]","{""completed"": 2}"
V12,MASK_CE,mask_ce_t050,0.5,128P,200,2000/2001,released_comparable,0.995,0.007071067811865481,0.994949494949495,0.007142492739258023,0.54,0.028284271247461926,0.8863499957770473,0.004229145567328572,True,200,200,"[2000, 2001]","{""completed"": 2}"
V12,MASK_CE,mask_ce_t050,0.5,128P,200,2000/2001,strict,0.765,0.049497474683058366,1.0,0.0,0.42000000000000004,0.042426406871192854,0.8764684557736013,0.0003041984756776457,True,200,200,"[2000, 2001]","{""completed"": 2}"
V13,E_CE,e_ce_raw_t050,0.5,128P,200,2100/2101,released_comparable,0.99,0.014142135623730963,0.9797959183673469,0.0002886150127292065,0.46499999999999997,0.021213203435596406,0.8933895649645891,0.005348727021420181,True,200,200,"[2100, 2101]","{""completed"": 2}"
V13,E_CE,e_ce_raw_t050,0.5,128P,200,2100/2101,strict,0.665,0.04949747468305829,1.0,0.0,0.345,0.021213203435596406,0.8776957874939125,0.002242526476524548,True,200,200,"[2100, 2101]","{""completed"": 2}"
V13,E_CE,e_ce_clean_t050,0.5,128P,200,2100/2101,released_comparable,0.975,0.021213203435596444,1.0,0.0,0.52,0.09899494936611662,0.891433991251148,0.0011447453754590334,True,200,200,"[2100, 2101]","{""completed"": 2}"
V13,E_CE,e_ce_clean_t050,0.5,128P,200,2100/2101,strict,0.64,0.05656854249492385,1.0,0.0,0.345,0.0636396103067893,0.8761164713513093,0.002398664557671349,True,200,200,"[2100, 2101]","{""completed"": 2}"
V13,MASK_CE,mask_ce_raw_t050,0.5,128P,200,2100/2101,released_comparable,0.99,0.0,0.994949494949495,0.007142492739258023,0.495,0.03535533905932741,0.8816798121123821,0.0006981558883883442,True,200,200,"[2100, 2101]","{""completed"": 2}"
V13,MASK_CE,mask_ce_raw_t050,0.5,128P,200,2100/2101,strict,0.8049999999999999,0.021213203435596368,1.0,0.0,0.42000000000000004,0.028284271247461888,0.8728047333103933,0.0033726915338804825,True,200,200,"[2100, 2101]","{""completed"": 2}"
V13,MASK_CE,mask_ce_clean_t050,0.5,128P,200,2100/2101,released_comparable,0.985,0.007071067811865481,0.9948979591836735,0.007215375318230085,0.475,0.021213203435596406,0.8916427877246074,0.009128099522603024,True,200,200,"[2100, 2101]","{""completed"": 2}"
V13,MASK_CE,mask_ce_clean_t050,0.5,128P,200,2100/2101,strict,0.665,0.04949747468305829,1.0,0.0,0.325,0.007071067811865481,0.8783352856548956,0.004830358484920348,True,200,200,"[2100, 2101]","{""completed"": 2}"
